Date,Cured,Death,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
29-06-2020,321723,16475,548318,548112.0,206.0,210120,3.0046432909370107,58.674528284681514,38.32082842438147,19459
30-06-2020,334822,16893,566840,566627.0,213.0,215125,2.9802060546185873,59.068167384094274,37.951626561287135,18522
01-07-2020,347979,17400,585493,585260.0,233.0,220114,2.971854488439657,59.433503047858814,37.594642463701526,18653
02-07-2020,359860,17834,604641,604419.0,222.0,226947,2.949518805373767,59.51630802410025,37.53417317052598,19148
03-07-2020,379892,18213,625544,625318.0,226.0,227439,2.9115457905439106,60.729860729221286,36.3585934802348,20903
04-07-2020,394227,18655,648315,648074.0,241.0,235433,2.8774592597734125,60.80794058443813,36.31460015578847,22771
05-07-2020,409083,19268,673165,672918.0,247.0,244814,2.862299733349179,60.77009351347738,36.36760675317344,24850
06-07-2020,424433,19693,697413,697154.0,259.0,253287,2.8237213817350693,60.85820023429446,36.31807838397047,24248
07-07-2020,439948,20160,719665,719405.0,260.0,259557,2.8013033842134885,61.1323324046605,36.066364211126015,22252
08-07-2020,456831,20642,742417,742086.0,331.0,264944,2.780378143280663,61.53293903560937,35.68668282110997,22752
09-07-2020,476378,21129,767296,766981.0,315.0,269789,2.7536960964217196,62.08529693886062,35.16100696471766,24879
10-07-2020,495516,21604,793802,793485.0,317.0,276682,2.7215854835336772,62.42312314657812,34.85529136988821,26506
11-07-2020,515386,22123,820916,820575.0,341.0,283407,2.694916410448816,62.78181933352499,34.523264256026195,27114
12-07-2020,534621,22674,849553,849203.0,350.0,292258,2.6689329565077164,62.929681844452325,34.401385199039964,28637
13-07-2020,553471,23174,878254,877903.0,351.0,301609,2.63864440127799,63.01946817207779,34.34188742664423,28701
14-07-2020,571460,23727,906752,906393.0,359.0,311565,2.616702251552795,63.02274491812535,34.36055283032185,28498
15-07-2020,592032,24309,936181,935810.0,371.0,319840,2.5966132617517337,63.23905313181959,34.16433360642867,29429
16-07-2020,612815,24915,968876,968495.0,381.0,331146,2.571536502091083,63.25009598751543,34.178367510393485,32695
17-07-2020,635757,25602,1003832,1003445.0,387.0,342473,2.5504267646379075,63.3330079136748,34.11656532168729,34956
18-07-2020,653751,26273,1038716,1038312.0,404.0,358692,2.5293728025754874,62.9383777663962,34.532249431028305,34884
19-07-2020,677423,26816,1077618,1077206.0,412.0,373379,2.488451380730463,62.862999690057144,34.64854892921239,38902
20-07-2020,700087,27497,1118043,1117630.0,413.0,390459,2.4593866246647043,62.61718019789937,34.92343317743593,40425
21-07-2020,724578,28084,1155191,1154738.0,453.0,402529,2.4311131232843746,62.72365349106771,34.845233385647916,37148
22-07-2020,753050,28732,1192915,1192451.0,464.0,411133,2.40855383661032,63.1268782771614,34.46456788622827,37724
23-07-2020,782607,29861,1238635,1238157.0,478.0,426167,2.4107989843658544,63.18302001800369,34.40618099763045,45720
24-07-2020,817209,30601,1287945,1287449.0,496.0,440135,2.3759554949939634,63.45061318612208,34.17343131888396,49310
25-07-2020,849432,31358,1336861,1336342.0,519.0,456071,2.3456440123543136,63.53929092104564,34.11506506660004,48916
26-07-2020,885577,32063,1385522,1384993.0,529.0,467882,2.3141458598275597,63.91648779304839,33.76936634712405,48661
27-07-2020,917568,32771,1435453,1434885.0,568.0,485114,2.2829726922441904,63.92184209444684,33.79518521330897,49931
